,Name,Speed,Team
264,Youssef Amyn,32.42,Eintracht Braunschweig
265,Ł. Poręba,32.40,Hamburger SV
266,S. Prevljak,32.39,Hertha BSC
267,T. Ito,32.38,1. FC Magdeburg
268,Hauke Wahl,32.37,FC St. Pauli
269,J. Brandt,32.37,SC Paderborn 07
270,Stephan Ambrosius,32.36,Hamburger SV
271,Florian Carstens,32.36,SV Wehen Wiesbaden
272,D. Roßbach,32.35,F.C. Hansa Rostock
273,N. Neidhart,32.31,F.C. Hansa Rostock
274,R. Schallenberg,32.29,FC Schalke 04
275,M. Flotho,32.28,SC Paderborn 07
276,Cédric Brunner,32.26,FC Schalke 04
277,M. Franke,32.24,Karlsruher SC
278,Aymen Barkok,32.24,Hertha BSC
279,F. Bähr,32.23,VfL Osnabrück
280,Mickaël Cuisance,32.22,VfL Osnabrück
281,M. Saliakas,32.21,FC St. Pauli
282,E. Durm,32.20,1. FC Kaiserslautern
283,N. Rieble,32.20,SV Wehen Wiesbaden
284,Joey Müller,32.19,FC Schalke 04
285,J. Mees,32.19,Holstein Kiel
286,M. Heyer,32.18,Hamburger SV
287,V. Vermeij,32.18,Fortuna Düsseldorf
288,P. Heise,32.17,Karlsruher SC
289,Jeremy Dudziak,32.17,Hertha BSC
290,N. Gavory,32.15,Fortuna Düsseldorf
291,N. Tauer,32.12,FC Schalke 04
292,K. Caliskaner,32.11,Eintracht Braunschweig
293,M. Schuster,32.09,SC Paderborn 07
294,J. van der Werff,32.08,F.C. Hansa Rostock
295,N. Agrafiotis,32.07,SV Wehen Wiesbaden
296,N. Katterbach,32.06,Hamburger SV
297,Matthias Zimmermann,32.06,Fortuna Düsseldorf
298,R. Wagner,32.06,SpVgg Greuther Fürth
299,K. Conrad,32.06,SV Elversberg
300,Steven van der Sloot,32.05,FC Schalke 04
301,J. Wulff,32.05,VfL Osnabrück
302,F. Flick,32.04,1. FC Nürnberg
303,B. Hussein,32.04,Hertha BSC
304,B. Idrizi,32.03,FC Schalke 04
305,E. Taffertshofer,32.01,SV Wehen Wiesbaden
306,D. Kinsombi,32.00,SC Paderborn 07
307,M. Wanitzek,31.98,Karlsruher SC
308,M. Dárdai,31.95,Hertha BSC
309,Jomaine Consbruch,31.95,SpVgg Greuther Fürth
310,Jordy de Wijs,31.94,Fortuna Düsseldorf
311,J. Quarshie,31.94,Fortuna Düsseldorf
312,Daniel Hanslik,31.93,1. FC Kaiserslautern
313,P. Wanner,31.92,SV Elversberg
314,S. Terodde,31.91,FC Schalke 04
315,B. Behrendt,31.91,Eintracht Braunschweig
316,Linus Gechter,31.89,Hertha BSC
317,S. Schonlau,31.86,Hamburger SV
318,A. Vukotić,31.86,SV Wehen Wiesbaden
319,M. Møller Dæhli,31.84,1. FC Nürnberg
320,Wahid Faghir,31.83,SV Elversberg
321,Marlon Ritter,31.82,1. FC Kaiserslautern
322,D. Wiebe,31.82,Eintracht Braunschweig
323,E. Öztürk,31.81,Karlsruher SC
324,Konstantinos Stafylidis,31.81,F.C. Hansa Rostock
325,D. Sinani,31.80,FC St. Pauli
326,D. Nemeth,31.80,FC St. Pauli
327,K. Endo,31.80,Eintracht Braunschweig
328,Julian Green,31.80,SpVgg Greuther Fürth
329,Colin Kleine-Bekel,31.79,Holstein Kiel
330,D. Latza,31.77,FC Schalke 04
331,J. Eggestein,31.76,FC St. Pauli
332,Lewis Holtby,31.76,Holstein Kiel
333,Joseph Hungbo,31.75,1. FC Nürnberg
334,M. Kamiński,31.75,FC Schalke 04
335,Sidi Sané,31.75,Eintracht Braunschweig
336,O. Kiomourtzoglou,31.74,SpVgg Greuther Fürth
337,C. Daferner,31.70,1. FC Nürnberg
338,M. Rohr,31.70,SC Paderborn 07
339,L. Schaub,31.69,Hannover 96
340,Bjarke Jacobsen,31.69,SV Wehen Wiesbaden
341,A. Rossipal,31.67,F.C. Hansa Rostock
342,Jonas Urbig,31.66,SpVgg Greuther Fürth
343,D. Michalski,31.66,SpVgg Greuther Fürth
344,L. Ritzka,31.63,FC St. Pauli
345,E. Bičakčić,31.63,Eintracht Braunschweig
346,J. Lawrence,31.62,1. FC Magdeburg
347,Sebastian Klaas,31.62,SC Paderborn 07
348,M. Thalhammer,31.59,VfL Osnabrück
349,J. Nikolaou,31.58,Eintracht Braunschweig
350,L. Ben Farhat,31.51,Karlsruher SC
351,O. Hüsing,31.50,F.C. Hansa Rostock
352,Timon Weiner,31.48,Holstein Kiel
353,Iván Márquez,31.46,1. FC Nürnberg
354,T. Uchino,31.45,Fortuna Düsseldorf
355,T. Raschl,31.44,1. FC Kaiserslautern
356,M. Richter,31.39,Hertha BSC
357,B. Zolinski,31.38,1. FC Kaiserslautern
358,I. Cissé,31.38,FC Schalke 04
359,M. Sobottka,31.37,Fortuna Düsseldorf
360,Jackson Irvine,31.36,FC St. Pauli
361,Anderson Lucoqui,31.36,Hertha BSC
362,L. Rosenboom,31.36,Holstein Kiel
363,L. Bénes,31.34,Hamburger SV
364,Leander Popp,31.34,SpVgg Greuther Fürth
365,Hólmbert Friðjónsson,31.31,Holstein Kiel
366,M. Feil,31.28,SV Elversberg
367,F. Ronstadt,31.24,1. FC Kaiserslautern
368,Afeez Aremu,31.23,1. FC Kaiserslautern
369,Saulo Decarli,31.23,Eintracht Braunschweig
370,D. Pfaffenrot,31.23,SpVgg Greuther Fürth
371,R. Tesche,31.22,VfL Osnabrück
372,K. Bennetts,31.22,SV Wehen Wiesbaden
373,C. Uzun,31.17,1. FC Nürnberg
374,Toni Leistner,31.17,Hertha BSC
375,R. Heußer,31.16,SV Wehen Wiesbaden
376,A. Ujah,31.14,Eintracht Braunschweig
377,F. Kastenmeier,31.11,Fortuna Düsseldorf
378,P. Erras,31.05,Holstein Kiel
379,Tim Oberdorf,31.01,Fortuna Düsseldorf
380,N. Antonitsch,31.01,SV Elversberg
381,K. Kraus,31.00,1. FC Kaiserslautern
382,A. Hoffmann,30.98,Fortuna Düsseldorf
383,E. Valentini,30.93,1. FC Nürnberg
384,N. Kijewski,30.93,Eintracht Braunschweig
385,M. Meyerhöfer,30.91,SpVgg Greuther Fürth
386,Mikkel Kirkeskov,30.88,Holstein Kiel
387,Andreas Albers,30.85,FC St. Pauli
388,A. Ersungur,30.83,Karlsruher SC
389,Carl Johansson,30.82,Holstein Kiel
390,H. Zuck,30.81,1. FC Kaiserslautern
391,J. Huth,30.78,SC Paderborn 07
392,J. Kade,30.76,SV Wehen Wiesbaden
393,L. Jensen,30.74,Karlsruher SC
394,N. Gießelmann,30.72,SpVgg Greuther Fürth
395,M. Müller,30.66,FC Schalke 04
396,J. Verhoek,30.59,VfL Osnabrück
397,M. Okugawa,30.56,Hamburger SV
398,J. Gondorf,30.53,Karlsruher SC
399,A. Loune,30.53,1. FC Nürnberg
400,Brandon Soppy,30.53,FC Schalke 04
401,T. Beermann,30.52,VfL Osnabrück
402,Kevin Koffi,30.52,SV Elversberg
403,N. Niehoff,30.50,Holstein Kiel
404,A. Kemlein,30.49,FC St. Pauli
405,Ahmet Arslan,30.49,1. FC Magdeburg
406,M. Hansen,30.49,SC Paderborn 07
407,M. Thiede,30.48,Karlsruher SC
408,J. Medić,30.48,FC St. Pauli
409,Montell Ndikom,30.48,Hannover 96
410,S. Rhein,30.47,F.C. Hansa Rostock
411,Lars Stindl,30.45,Karlsruher SC
412,Antonio Foti,30.44,Hannover 96
413,Lennart Grill,30.44,VfL Osnabrück
414,T. Dähne,30.37,Holstein Kiel
415,Niclas Nadj,30.36,SC Paderborn 07
416,N. El-Jindaoui,30.33,Hertha BSC
417,Anssi Suhonen,30.31,Hamburger SV
418,T. Goiginger,30.31,VfL Osnabrück
419,P. Müller,30.31,SpVgg Greuther Fürth
420,M. Correia,30.28,SV Elversberg
421,J. Börner,30.27,Hannover 96
422,Carlo Boukhalfa,30.26,FC St. Pauli
423,Shinta Appelkamp,30.24,Fortuna Düsseldorf
424,T. Hoffmann,30.23,Hertha BSC
425,T. Duman,30.18,1. FC Nürnberg
426,S. Singh,30.18,F.C. Hansa Rostock
427,K. Manu,30.17,Fortuna Düsseldorf
428,Muhammed Damar,30.14,Hannover 96
429,Niklas Castelle,30.13,FC Schalke 04
430,J. Geis,30.11,1. FC Nürnberg
431,James Lawrence,30.11,1. FC Nürnberg
432,Aurel Wagbe,30.11,Holstein Kiel
433,L. Dürholtz,30.10,SV Elversberg
434,S. Gudjohnsen,30.09,F.C. Hansa Rostock
435,P. Pekarík,30.06,Hertha BSC
436,C. Krempicki,29.95,1. FC Magdeburg
437,B. Dardai,29.84,Hertha BSC
438,M. Ens,29.73,SC Paderborn 07
439,C. Mathenia,29.70,1. FC Nürnberg
440,R. Hoffmann,29.60,Eintracht Braunschweig
441,P. Boevink,29.59,SC Paderborn 07
442,Eric da Silva Moreira,29.57,FC St. Pauli
443,M. Pledl,29.49,SC Paderborn 07
444,N. Vasilj,29.45,FC St. Pauli
445,Maurides,29.44,FC St. Pauli
446,N. Rapp,29.40,Karlsruher SC
447,E. Kuhinja,29.39,1. FC Magdeburg
448,K. Suso,29.31,Fortuna Düsseldorf
449,E. Dzogovic,29.27,1. FC Magdeburg
450,M. Kolke,29.25,F.C. Hansa Rostock
451,L. Kehl,29.21,VfL Osnabrück
452,Max Kruse,29.19,SC Paderborn 07
453,O. Megeed,29.10,Hamburger SV
454,F. Hübner,29.10,1. FC Nürnberg
455,Paterson Chato,29.10,VfL Osnabrück
456,P. Drewes,29.09,Karlsruher SC
457,T. Ernst,29.06,Hertha BSC
458,J. Krahl,28.96,1. FC Kaiserslautern
459,N. Kristof,28.91,SV Elversberg
460,S. Zoller,28.86,FC St. Pauli
461,L. Hinterseer,28.74,F.C. Hansa Rostock
462,Yannik Lührs,28.69,Hannover 96
463,J. Kania,28.59,1. FC Nürnberg
464,D. Reimann,28.59,1. FC Magdeburg
465,P. Klement,28.55,1. FC Kaiserslautern
466,D. Heuer Fernandes,28.40,Hamburger SV
467,H. Finndell,28.14,Eintracht Braunschweig
468,P. Kühn,27.87,VfL Osnabrück
469,M. Besuschkow,27.63,Hannover 96
470,Elijah Krahn,27.40,Hamburger SV
471,Max Reinthaler,27.37,SV Wehen Wiesbaden
472,R. Zieler,27.17,Hannover 96
473,F. Stritzel,26.73,SV Wehen Wiesbaden
474,O. Christensen,26.31,Hertha BSC
475,M. Gersbeck,26.22,Hertha BSC
476,C. Klaus,26.09,1. FC Nürnberg
477,M. Raab,25.92,Hamburger SV
478,R. Himmelmann,25.83,1. FC Kaiserslautern
479,S. Marino,25.47,Karlsruher SC
480,Ralf Fährmann,25.33,FC Schalke 04
481,J. Heekeren,25.12,FC Schalke 04
482,T. Casali,23.90,Eintracht Braunschweig
483,A. Luthe,23.48,1. FC Kaiserslautern
484,D. Bunk,23.46,Fortuna Düsseldorf
485,M. Langer,23.35,FC Schalke 04
486,Nils Körber,21.18,F.C. Hansa Rostock
487,Tjark Scheller,18.80,FC St. Pauli
488,R. Kwasigroch,18.46,Hertha BSC
489,Andreas Linde,17.61,SpVgg Greuther Fürth
