Team ID IFES,Team ID D3,Teamname,Spieler ID IFES,Spieler ID D3,Vorname,Nachname,Künstlername,Anzeigename,Geburtstag,Rolle,Rolle,Rückennummer,Shirtname,Position,Position,Gelöscht von finaler Liste
1884881,5483,Argentina (women),461595,83844,Estefania Anahi,PALOMAR,PALOMAR Estefania,Estefania PALOMAR,2003-01-07,PLA,Player,,PALOMAR,FW,Forward,TRUE
1884881,5483,Argentina (women),461596,83848,Catalina,ROGGERONE SARMIENTO,ROGGERONE Catalina,Catalina ROGGERONE,2003-04-03,PLA,Player,,ROGGERONE,MF,Midfielder,TRUE
1884881,5483,Argentina (women),461598,83858,Agustina Lujan,VARGAS,VARGAS Agustina,Agustina VARGAS,2001-12-27,PLA,Player,,VARGAS,FW,Forward,TRUE
1884881,5483,Argentina (women),467571,87869,Milagros Iara,MARTIN,MARTIN Milagros,Milagros MARTIN,2007-04-26,PLA,Player,,MARTIN,DF,Defense,TRUE
1882891,5435,Australia (women),225531,44680,Lydia Grace Yilkari,WILLIAMS,WILLIAMS Lydia,Lydia WILLIAMS,1988-05-13,PLA,Player,1,WILLIAMS,GK,Goalkeeper,FALSE
1882891,5435,Australia (women),430530,70133,Courtney Jade,NEVIN,NEVIN Courtney,Courtney NEVIN,2002-02-12,PLA,Player,2,NEVIN,DF,Defense,FALSE
1882891,5435,Australia (women),326967,44678,Aivi Belinda Kerstin,LUIK,LUIK Aivi,Aivi LUIK,1985-03-18,PLA,Player,3,LUIK,DF,Defense,FALSE
1882891,5435,Australia (women),251935,44662,Clare Elizabeth,POLKINGHORNE,POLKINGHORNE Clare,Clare POLKINGHORNE,1989-02-01,PLA,Player,4,POLKINGHORNE,DF,Defense,FALSE
1882891,5435,Australia (women),419884,70108,Cortnee Brooke,VINE,VINE Cortnee,Cortnee VINE,1998-04-09,PLA,Player,5,VINE,FW,Forward,FALSE
1882891,5435,Australia (women),419885,70109,Clare May,WHEELER,WHEELER Clare,Clare WHEELER,1998-01-14,PLA,Player,6,WHEELER,MF,Midfielder,FALSE
1882891,5435,Australia (women),386998,53877,Stephanie Elise,CATLEY,CATLEY Steph,Steph CATLEY,1994-01-26,PLA,Player,7,CATLEY,DF,Defense,FALSE
1882891,5435,Australia (women),387000,70040,Alexandra Carla,CHIDIAC,CHIDIAC Alex,Alex CHIDIAC,1999-01-15,PLA,Player,8,CHIDIAC,MF,Midfielder,FALSE
1882891,5435,Australia (women),326979,44918,Caitlin Jade,FOORD,FOORD Caitlin,Caitlin FOORD,1994-11-11,PLA,Player,9,FOORD,FW,Forward,FALSE
1882891,5435,Australia (women),326968,44683,Emily Louise,VAN-EGMOND,VAN EGMOND Emily,Emily VAN EGMOND,1993-07-12,PLA,Player,10,VAN EGMOND,MF,Midfielder,FALSE
1882891,5435,Australia (women),419898,70121,Mary Boio,FOWLER,FOWLER Mary,Mary FOWLER,2003-02-14,PLA,Player,11,FOWLER,FW,Forward,FALSE
1882891,5435,Australia (women),419880,70103,Teagan Jade,MICAH,MICAH Teagan,Teagan MICAH,1997-10-20,PLA,Player,12,MICAH,GK,Goalkeeper,FALSE
1882891,5435,Australia (women),326972,44679,Tameka,YALLOP,YALLOP Tameka,Tameka YALLOP,1991-06-16,PLA,Player,13,YALLOP,MF,Midfielder,FALSE
1882891,5435,Australia (women),386994,53878,Alanna Stephanie,KENNEDY,KENNEDY Alanna,Alanna KENNEDY,1995-01-21,PLA,Player,14,KENNEDY,DF,Defense,FALSE
1882891,5435,Australia (women),467201,87714,Clare Josephine,HUNT,HUNT Clare,Clare HUNT,1999-03-12,PLA,Player,15,HUNT,DF,Defense,FALSE
1882891,5435,Australia (women),386995,53880,Hayley Emma,RASO,RASO Hayley,Hayley RASO,1994-09-05,PLA,Player,16,RASO,FW,Forward,FALSE
1882891,5435,Australia (women),326970,44688,Kyah Pam,SIMON,SIMON Kyah,Kyah SIMON,1991-06-25,PLA,Player,17,SIMON,FW,Forward,FALSE
1882891,5435,Australia (women),386993,53882,Mackenzie Elizabeth,ARNOLD,ARNOLD Mackenzie,Mackenzie ARNOLD,1994-02-25,PLA,Player,18,ARNOLD,GK,Goalkeeper,FALSE
1882891,5435,Australia (women),386996,53881,Katrina-Lee,GORRY,GORRY Katrina,Katrina GORRY,1992-08-13,PLA,Player,19,GORRY,MF,Midfielder,FALSE
1882891,5435,Australia (women),326971,44657,Samantha May,KERR,KERR Sam,Sam KERR,1993-09-10,PLA,Player,20,KERR,FW,Forward,FALSE
1882891,5435,Australia (women),394063,70087,Ellie Madison,CARPENTER,CARPENTER Ellie,Ellie CARPENTER,2000-04-28,PLA,Player,21,CARPENTER,DF,Defense,FALSE
1882891,5435,Australia (women),430521,70124,Charlotte Layne,GRANT,GRANT Charlotte,Charlotte GRANT,2001-09-20,PLA,Player,22,GRANT,DF,Defense,FALSE
1882891,5435,Australia (women),419874,70100,Kyra Lillee,COONEY-CROSS,COONEY-CROSS Kyra,Kyra COONEY-CROSS,2002-02-15,PLA,Player,23,COONEY-CROSS,MF,Midfielder,FALSE
1882891,5435,Australia (women),394094,70089,Chloe,LOGARZO,LOGARZO Chloe,Chloe LOGARZO,1994-12-22,PLA,Player,,LOGARZO,MF,Midfielder,TRUE
1882891,5435,Australia (women),395166,70095,Emily,GIELNIK,GIELNIK Emily,Emily GIELNIK,1992-05-13,PLA,Player,,GIELNIK,FW,Forward,TRUE
1882891,5435,Australia (women),326973,44821,Michelle Pearl,HEYMAN,HEYMAN Michelle,Michelle HEYMAN,1988-07-04,PLA,Player,,HEYMAN,FW,Forward,TRUE
1882891,5435,Australia (women),386991,53875,Larissa Rose,CRUMMER,CRUMMER Larissa,Larissa CRUMMER,1996-01-10,PLA,Player,,CRUMMER,FW,Forward,TRUE
1882891,5435,Australia (women),395169,70097,Princess Megan Ategbayon,IBINI-ISEI,IBINI-ISEI Princess,Princess IBINI-ISEI,2000-01-31,PLA,Player,,IBINI-ISEI,FW,Forward,TRUE
1882891,5435,Australia (women),419876,70101,Beatrice Southby,GOAD,GOAD Beattie,Beattie GOAD,1997-05-31,PLA,Player,,GOAD,FW,Forward,TRUE
1882891,5435,Australia (women),419883,70107,Amy Joan Irene,SAYER,SAYER Amy,Amy SAYER,2001-11-30,PLA,Player,,SAYER,MF,Midfielder,TRUE
1882891,5435,Australia (women),419886,70113,Jada Leanne,MATHYSSEN,WHYMAN Jada,Jada WHYMAN,1999-10-24,PLA,Player,,WHYMAN,GK,Goalkeeper,TRUE
1882891,5435,Australia (women),430529,70132,Matilda Jane,MCNAMARA,McNAMARA Matilda,Matilda McNAMARA,1998-12-18,PLA,Player,,MCNAMARA,DF,Defense,TRUE
1882891,5435,Australia (women),430532,70135,Remy Dianna,SIEMSEN,SIEMSEN Remy,Remy SIEMSEN,1999-11-10,PLA,Player,,SIEMSEN,FW,Forward,TRUE
1882891,5435,Australia (women),443638,78422,Daniela,GALIC,GALIC Daniela,Daniela GALIC,2006-06-17,PLA,Player,,GALIC,MF,Midfielder,TRUE
1882891,5435,Australia (women),443641,78434,Sarah Rose,HUNTER,HUNTER Sarah,Sarah HUNTER,2003-10-07,PLA,Player,,HUNTER,FW,Forward,TRUE
1882891,5435,Australia (women),443646,78451,Charlize Jayde,RULE,RULE Charlize,Charlize RULE,2003-02-16,PLA,Player,,RULE,MF,Midfielder,TRUE
1882891,5435,Australia (women),443652,78448,Jessika Jayne,NASH,NASH Jessika,Jessika NASH,2004-10-05,PLA,Player,,NASH,DF,Defense,TRUE
1882891,5435,Australia (women),443653,79047,Chloe Belle,LINCOLN,LINCOLN Chloe,Chloe LINCOLN,2005-01-04,PLA,Player,,LINCOLN,GK,Goalkeeper,TRUE
1882891,5435,Australia (women),443671,78432,Bryleeh Flo,HENRY,HENRY Bryleeh,Bryleeh HENRY,2003-05-05,PLA,Player,,HENRY,FW,Forward,TRUE
1882891,5435,Australia (women),467202,88380,Holly Christina,MCNAMARA,McNAMARA Holly,Holly McNAMARA,2003-01-23,PLA,Player,,MCNAMARA,FW,Forward,TRUE
1882891,5435,Australia (women),467206,88383,Leah Mary-Jane,DAVIDSON,DAVIDSON Leah,Leah DAVIDSON,2001-03-28,PLA,Player,,DAVIDSON,MF,Midfielder,TRUE
1882891,5435,Australia (women),467210,88392,Annalee Sarah,GROVE,GROVE Annalee,Annalee GROVE,2001-06-15,PLA,Player,,GROVE,GK,Goalkeeper,TRUE
1882891,5435,Australia (women),467215,88397,Kaitlyn Grace,TORPEY,TORPEY Kaitlyn,Kaitlyn TORPEY,2000-03-17,PLA,Player,,TORPEY,MF,Midfielder,TRUE
1882881,5434,Brazil (women),251049,44872,Barbara Micheline,DO MONTE BARBOSA,BARBARA,BARBARA,1988-07-04,PLA,Player,1,BARBARA,GK,Goalkeeper,FALSE
1882881,5434,Brazil (women),420470,85284,Antonia Ronnycleide,DA COSTA SILVA,ANTONIA,ANTONIA,1994-04-26,PLA,Player,2,ANTONIA,DF,Defense,FALSE
1882881,5434,Brazil (women),420472,84749,Kathellen,SOUSA FEITOZA,KATHELLEN,KATHELLEN,1996-04-26,PLA,Player,3,KATHELLEN,DF,Defense,FALSE
1882881,5434,Brazil (women),296322,54046,Rafaelle,LEONE CARVALHO SOUZA,RAFAELLE,RAFAELLE,1991-06-18,PLA,Player,4,RAFAELLE,DF,Defense,FALSE
1882881,5434,Brazil (women),321165,85415,Luana,BERTOLUCCI PAIXÃO,LUANA,LUANA,1993-05-02,PLA,Player,5,LUANA,MF,Midfielder,FALSE
1882881,5434,Brazil (women),215194,54045,Tamires Cássia,DIAS DE BRITTO,TAMIRES,TAMIRES,1987-10-10,PLA,Player,6,TAMIRES,DF,Defense,FALSE
1882881,5434,Brazil (women),322662,54042,Andressa,ALVES DA SILVA,ANDRESSA,ANDRESSA,1992-11-10,PLA,Player,7,ANDRESSA,FW,Forward,FALSE
1882881,5434,Brazil (women),397537,70279,Ana Vitória,ANGÉLICA KLIEMASCHEWSK ARAÚJO,ANA VITORIA,ANA VITORIA,2000-03-06,PLA,Player,8,ANA VITORIA,MF,Midfielder,FALSE
1882881,5434,Brazil (women),322658,70241,Debora Cristiane,DE OLIVEIRA,DEBINHA,DEBINHA,1991-10-20,PLA,Player,9,DEBINHA,FW,Forward,FALSE
1882881,5434,Brazil (women),190358,44889,Marta,VIEIRA DA SILVA,MARTA,MARTA,1986-02-19,PLA,Player,10,MARTA,FW,Forward,FALSE
1882881,5434,Brazil (women),420474,70116,Adriana,LEAL DA SILVA,ADRIANA,ADRIANA,1996-11-17,PLA,Player,11,ADRIANA,MF,Midfielder,FALSE
1882881,5434,Brazil (women),321160,54037,Letícia,IZIDORO LIMA DA SILVA,LETICIA,LETICIA,1994-08-13,PLA,Player,12,LETICIA,GK,Goalkeeper,FALSE
1882881,5434,Brazil (women),415529,78857,Bruna,SANTOS NHAIA,BRUNINHA,BRUNINHA,2002-06-16,PLA,Player,13,BRUNINHA,DF,Defense,FALSE
1882881,5434,Brazil (women),415520,78858,Lauren Eduarda,LEAL COSTA,LAUREN,LAUREN,2002-09-13,PLA,Player,14,LAUREN,DF,Defense,FALSE
1882881,5434,Brazil (women),430580,70122,Maria Eduarda,FERREIRA SAMPAIO,DUDA SAMPAIO,DUDA SAMPAIO,2001-05-18,PLA,Player,15,D. SAMPAIO,FW,Forward,FALSE
1882881,5434,Brazil (women),296328,44886,Beatriz,ZANERATTO JOÃO,BIA ZANERATTO,BIA ZANERATTO,1993-12-17,PLA,Player,16,B. ZANERATTO,FW,Forward,FALSE
1882881,5434,Brazil (women),413090,70154,Ariadina,ALVES BORGES,ARY BORGES,ARY BORGES,1999-12-28,PLA,Player,17,ARY,MF,Midfielder,FALSE
1882881,5434,Brazil (women),398377,70149,Geyse,DA SILVA FERREIRA,GEYSE,GEYSE,1998-03-27,PLA,Player,18,GEYSE,FW,Forward,FALSE
1882881,5434,Brazil (women),251055,54049,Monica,HICKMANN ALVES,MONICA,MONICA,1987-04-21,PLA,Player,19,MÔNICA,MF,Midfielder,FALSE
1882881,5434,Brazil (women),397562,70143,Nycole Raysla,SILVA SOBRINHO,NYCOLE RAYSLA,NYCOLE RAYSLA,2000-03-26,PLA,Player,20,NYCOLE,FW,Forward,FALSE
1882881,5434,Brazil (women),397556,70281,Kerolin Nicoli,ISRAEL FERRAZ,KEROLIN,KEROLIN,1999-11-17,PLA,Player,21,KEROLIN,FW,Forward,FALSE
1882881,5434,Brazil (women),466993,85283,Camila Fernanda,GOMES RODRIGUES,CAMILA,CAMILA,2001-01-02,PLA,Player,22,CAMILA,GK,Goalkeeper,FALSE
1882881,5434,Brazil (women),381604,84755,Gabriela,NUNES DA SILVA,GABI NUNES,GABI NUNES,1997-03-10,PLA,Player,23,GABI NUNES,FW,Forward,FALSE
1882881,5434,Brazil (women),420471,88364,Natascha Jennifer,HONEGGER,NATASCHA HONEGGER,NATASCHA HONEGGER,1997-09-27,PLA,Player,,NATASCHA,GK,Goalkeeper,TRUE
1882881,5434,Brazil (women),358509,70272,Julia,BIANCHI,JULIA,JULIA,1997-10-07,PLA,Player,,JULIA,MF,Midfielder,TRUE
1882881,5434,Brazil (women),397535,70278,Angelina,ALONSO COSTANTINO,ANGELINA,ANGELINA,2000-01-26,PLA,Player,,ANGELINA,MF,Midfielder,TRUE
1882881,5434,Brazil (women),381485,70275,Maria Eduarda,FRANCELINO DA SILVA,DUDA,DUDA,1995-07-18,PLA,Player,,DUDA,MF,Midfielder,TRUE
1882881,5434,Brazil (women),397565,70146,Jaqueline,RIBEIRO DOS SANTOS ALMEIDA,JAQUELINE,JAQUELINE,2000-03-31,PLA,Player,,JAQUELINE,MF,Midfielder,TRUE
1882881,5434,Brazil (women),398375,70148,Adailma Aparecida,DA SILVA DOS SANTOS,DUDA SANTOS,DUDA SANTOS,1996-03-24,PLA,Player,,DUDA SANTOS,MF,Midfielder,TRUE
1882881,5434,Brazil (women),395358,70276,Aline,VILLARES REIS,ALINE,ALINE,1989-04-15,PLA,Player,,ALINE,GK,Goalkeeper,TRUE
1882881,5434,Brazil (women),415511,78859,Tarciane Karen,DOS SANTOS DE LIMA,TARCIANE,TARCIANE,2003-05-27,PLA,Player,,TARCIANE,DF,Defense,TRUE
1882881,5434,Brazil (women),359269,85303,Gabrielle,JORDÃO PORTILHO,GABI PORTILHO,GABI PORTILHO,1995-07-18,PLA,Player,,G.PORTILHO,MF,Midfielder,TRUE
1882881,5434,Brazil (women),430584,70136,Ingryd Fernanda,SILVA DE LIMA,INGRYD,INGRYD,1997-11-24,PLA,Player,,ALINE,MF,Midfielder,TRUE
1882881,5434,Brazil (women),381460,84750,Yasmim,ASSIS RIBEIRO,YASMIM,YASMIM,1996-10-28,PLA,Player,,YASMIM,DF,Defense,TRUE
1882881,5434,Brazil (women),443377,78889,Aline,GOMES AMARO,ALINE,ALINE,2005-07-07,PLA,Player,,ALINE,MF,Midfielder,TRUE
1882881,5434,Brazil (women),398373,88299,Daiane,LIMEIRA SANTOS SILVA,DAIANE,DAIANE,1997-09-07,PLA,Player,,DAIANE,MF,Midfielder,TRUE
1882881,5434,Brazil (women),398402,85285,Fernanda,PALERMO LICEN,FERNANDA,FERNANDA,1996-08-18,PLA,Player,,FERNANDA,DF,Defense,TRUE
1882881,5434,Brazil (women),255070,54038,Luciana Maria,DIONIZIO,LUCIANA,LUCIANA,1987-07-24,PLA,Player,,LUCIANA,GK,Goalkeeper,TRUE
1882881,5434,Brazil (women),397544,70280,Tainara,DE SOUZA DA SILVA,TAINARA,TAINARA,1999-04-21,PLA,Player,,TAINARA,DF,Defense,TRUE
1883718,5423,Canada (women),359194,70029,Kailen Mary Iacovoni,SHERIDAN,SHERIDAN Kailen,Kailen SHERIDAN,1995-07-16,PLA,Player,1,SHERIDAN,GK,Goalkeeper,FALSE
1883718,5423,Canada (women),302146,53720,Allysha Lyn,CHAPMAN,CHAPMAN Allysha,Allysha CHAPMAN,1989-01-25,PLA,Player,2,CHAPMAN,DF,Defense,FALSE
1883718,5423,Canada (women),359180,53719,Kadeisha,BUCHANAN,BUCHANAN Kadeisha,Kadeisha BUCHANAN,1995-11-05,PLA,Player,3,BUCHANAN,DF,Defense,FALSE
1883718,5423,Canada (women),300492,70034,Shelina,ZADORSKY,ZADORSKY Shelina,Shelina ZADORSKY,1992-10-24,PLA,Player,4,ZADORSKY,DF,Defense,FALSE
1883718,5423,Canada (women),326251,70024,-,QUINN,QUINN,QUINN,1995-08-11,PLA,Player,5,QUINN,MF,Midfielder,FALSE
1883718,5423,Canada (women),395390,70027,Deanne Cynthia,ROSE,ROSE Deanne,Deanne ROSE,1999-03-03,PLA,Player,6,ROSE,FW,Forward,FALSE
1883718,5423,Canada (women),397230,70017,Julia Angela,GROSSO,GROSSO Julia,Julia GROSSO,2000-08-29,PLA,Player,7,GROSSO,MF,Midfielder,FALSE
